athlete,fis_code,date,location,nation,category,discipline,rank,fis_points,cup_points
김상겸,111837,2026-01-10,Scuol,,Qualification,Parallel Giant Slalom,12,,
조완희,188938,2026-01-10,Scuol,,World Cup,Parallel Giant Slalom,31,28.00,
이윤승,252896,2026-01-10,Val St. Come,,World Cup,Dual Moguls,37,19.40,
이상호,163744,2026-01-10,Scuol,,Qualification,Parallel Giant Slalom,16,,
장선웅,270266,2026-01-10,Sapporo Okuraymama,,Continental Cup,Large Hill HS137,NPS,,
이윤승,252896,2026-01-09,Val St. Come,,World Cup,Moguls,38,19.10,
정대윤,229480,2026-01-09,Val St. Come,,World Cup,Moguls,16,150.00,15.00
윤신이,258758,2026-01-09,Val St. Come,,World Cup,Moguls,49,15.80,
김다은,235623,2026-01-08,Buttermilk,,Qualification,Freeski Halfpipe,15,,
정동현,93945,2026-01-07,Madonna di Campiglio,,World Cup,Slalom,DNS1,,
박서윤,261321,2026-01-06,Nukabira Gensenkyo,,FIS,Slalom,8,45.27,
최흥철,10064,2026-01-05,Bischofshofen,,Qualification,Large Hill HS142,DSQ,,
박서윤,261321,2026-01-05,Nukabira Gensenkyo,,FIS,Slalom,12,53.42,
변지영,188923,2026-01-04,Alpensia Cross-Country Center,,Far East Cup,15 km F,3,105.98,60
이진복,229490,2026-01-04,Alpensia Cross-Country Center,,Far East Cup,15 km F,12,183.76,22
이건용,154934,2026-01-04,Alpensia Cross-Country Center,,Far East Cup,15 km F,7,141.47,36
정종원,136287,2026-01-04,Alpensia Cross-Country Center,,Far East Cup,15 km F,8,143.90,32
이의진,221223,2026-01-04,Alpensia Cross-Country Center,,Far East Cup,10 km F,4,122.14,50
한다솜,162284,2026-01-04,Alpensia Cross-Country Center,,Far East Cup,10 km F,3,112.58,60
이준서,229479,2026-01-04,Alpensia Cross-Country Center,,Far East Cup,15 km F,4,115.37,50
이지예,212563,2026-01-04,Alpensia Cross-Country Center,,Far East Cup,10 km F,6,149.08,40
제상미,195562,2026-01-04,Alpensia Cross-Country Center,,Far East Cup,10 km F,5,125.96,45
김소희,177571,2026-01-04,Kranjska Gora,,World Cup,Slalom,DNF1,,
이의진,221223,2026-01-03,Alpensia Cross-Country Center,,Far East Cup,5 km C,3,115.26,60
최흥철,10064,2026-01-03,Innsbruck,,Qualification,Large Hill HS128,67,,
변지영,188923,2026-01-03,Alpensia Cross-Country Center,,Far East Cup,10 km C,4,100.85,50
이채운,239112,2026-01-03,Calgary,,World Cup,Halfpipe,13,119.50,20.00
김건희,261977,2026-01-03,Calgary,,World Cup,Halfpipe,23,54.90,8.00
이준서,229479,2026-01-03,Alpensia Cross-Country Center,,Far East Cup,10 km C,5,113.09,45
정종원,136287,2026-01-03,Alpensia Cross-Country Center,,Far East Cup,10 km C,9,148.49,29
이지오,261333,2026-01-03,Calgary,,World Cup,Halfpipe,14,110.20,18.00
이건용,154934,2026-01-03,Alpensia Cross-Country Center,,Far East Cup,10 km C,7,129.04,36
제상미,195562,2026-01-03,Alpensia Cross-Country Center,,Far East Cup,5 km C,1,101.72,100
김다은,235623,2026-01-03,Calgary,,World Cup,Freeski Halfpipe,21,36.00,10.00
이나윤,212759,2026-01-03,Calgary,,World Cup,Halfpipe,9,124.90,29.00
김소희,177571,2026-01-03,Kranjska Gora,,World Cup,Giant Slalom,DNF1,,
한다솜,162284,2026-01-03,Alpensia Cross-Country Center,,Far East Cup,5 km C,2,109.03,80
이지예,212563,2026-01-03,Alpensia Cross-Country Center,,Far East Cup,5 km C,6,127.53,40
이진복,229490,2026-01-03,Alpensia Cross-Country Center,,Far East Cup,10 km C,11,169.21,24
이채운,239112,2026-01-02,Calgary,,Qualification,Halfpipe,4,,
이나윤,212759,2026-01-02,Calgary,,Qualification,Halfpipe,9,,
김건희,261977,2026-01-02,Calgary,,Qualification,Halfpipe,23,,
이지오,261333,2026-01-02,Calgary,,Qualification,Halfpipe,5,,
김다은,235623,2026-01-01,Calgary,,Qualification,Freeski Halfpipe,21,,
신정우,203604,2025-12-31,Alpensia,,FIS,Slalom,3,27.28,
김동우,163740,2025-12-31,Alpensia,,FIS,Slalom,6,36.09,
이한희,188824,2025-12-31,Alpensia,,FIS,Slalom,2,26.65,
최흥철,10064,2025-12-31,Garmisch-Partenkirchen,,Qualification,Large Hill HS142,66,,
박제윤,154866,2025-12-31,Alpensia,,FIS,Slalom,1,23.00,
정민식,189170,2025-12-31,Alpensia,,FIS,Slalom,4,30.46,
신정우,203604,2025-12-30,Alpensia,,FIS,Slalom,1,23.00,
김동우,163740,2025-12-30,Alpensia,,FIS,Slalom,2,30.63,
이한희,188824,2025-12-30,Alpensia,,FIS,Slalom,DNF2,,
박제윤,154866,2025-12-30,Alpensia,,FIS,Slalom,DNF2,,
정민식,189170,2025-12-30,Alpensia,,FIS,Slalom,DNF1,,
김소희,177571,2025-12-28,Semmering,,World Cup,Slalom,DNF1,,
최흥철,10064,2025-12-28,Oberstdorf,,Qualification,Large Hill HS137,65,,
박서윤,261321,2025-12-28,Nukabira Gensenkyo,,FIS,Giant Slalom,8,44.05,
박서윤,261321,2025-12-27,Nukabira Gensenkyo,,FIS,Giant Slalom,5,42.96,
김소희,177571,2025-12-27,Semmering,,World Cup,Giant Slalom,DNF1,,
박서윤,261321,2025-12-24,Akan,,National Junior Race,Slalom,8,66.79,
박서윤,261321,2025-12-23,Akan,,National Junior Race,Slalom,11,68.01,
박서윤,261321,2025-12-22,Akan,,FIS,Slalom,19,77.94,
최흥철,10064,2025-12-21,Engelberg,,Qualification,Large Hill HS140,60,,
윤신이,258758,2025-12-21,Tignes,,FIS,Moguls,6,104.00,
이윤승,252896,2025-12-21,Tignes,,FIS,Moguls,11,62.40,
김상겸,111837,2025-12-20,Davos,,Qualification,Parallel Slalom,21,,
김다은,235623,2025-12-20,Copper,,World Cup,Freeski Halfpipe,17,60.10,14.00
이상호,163744,2025-12-20,Davos,,World Cup,Parallel Slalom,15,160.00,16.00
이윤승,252896,2025-12-20,Tignes,,FIS,Moguls,15,41.60,
이상호,163744,2025-12-20,Davos,,Qualification,Parallel Slalom,15,,
윤신이,258758,2025-12-20,Tignes,,FIS,Moguls,6,104.00,
김상겸,111837,2025-12-20,Davos,,World Cup,Parallel Slalom,21,100.00,10.00
홍승영,188936,2025-12-20,Davos,,World Cup,Parallel Slalom,36,19.70,
홍승영,188936,2025-12-20,Davos,,Qualification,Parallel Slalom,36,,
이승훈,235622,2025-12-20,Copper,,World Cup,Freeski Halfpipe,19,148.70,12.00
정대윤,229480,2025-12-20,Tignes,,FIS,Moguls,1,260.00,
조완희,188938,2025-12-20,Davos,,Qualification,Parallel Slalom,44,,
문희성,239278,2025-12-20,Copper,,World Cup,Freeski Halfpipe,DNS,,
마준호,220950,2025-12-20,Davos,,Qualification,Parallel Slalom,DNF,,
조완희,188938,2025-12-20,Davos,,World Cup,Parallel Slalom,44,,
마준호,220950,2025-12-20,Davos,,World Cup,Parallel Slalom,DNF,,
이건용,154934,2025-12-19,Alpensia Cross-Country Center,,Far East Cup,10 km F,13,133.13,20
이나윤,212759,2025-12-19,Copper,,World Cup,Halfpipe,18,135.80,13.00
변지영,188923,2025-12-19,Alpensia Cross-Country Center,,Far East Cup,10 km F,11,127.08,24
한다솜,162284,2025-12-19,Alpensia Cross-Country Center,,Far East Cup,5 km F,3,103.90,60
이지오,261333,2025-12-19,Copper,,World Cup,Halfpipe,11,257.30,24.00
최흥철,10064,2025-12-19,Engelberg,,Qualification,Large Hill HS140,63,,
김건희,261977,2025-12-19,Copper,,World Cup,Halfpipe,16,186.20,15.00
이진복,229490,2025-12-19,Alpensia Cross-Country Center,,Far East Cup,10 km F,19,190.87,12
제상미,195562,2025-12-19,Alpensia Cross-Country Center,,Far East Cup,5 km F,11,141.89,24
이채운,239112,2025-12-19,Copper,,World Cup,Halfpipe,47,0.30,
이준서,229479,2025-12-19,Alpensia Cross-Country Center,,Far East Cup,10 km F,8,120.27,32
이지예,212563,2025-12-19,Alpensia Cross-Country Center,,Far East Cup,5 km F,14,161.48,18
이의진,221223,2025-12-19,Alpensia Cross-Country Center,,Far East Cup,5 km F,2,98.03,80
정종원,136287,2025-12-19,Alpensia Cross-Country Center,,Far East Cup,10 km F,16,156.90,15
최가온,264594,2025-12-19,Copper,,World Cup,Halfpipe,1,1000.00,100.00
이지예,212563,2025-12-18,Alpensia Cross-Country Center,,Far East Cup,5 km C,15,155.07,16
이진복,229490,2025-12-18,Alpensia Cross-Country Center,,Far East Cup,10 km C,19,181.63,12
정해림,156415,2025-12-18,Carezza,,World Cup,Parallel Giant Slalom,38,19.10,
이상호,163744,2025-12-18,Carezza,,World Cup,Parallel Giant Slalom,13,200.00,20.00
정해림,156415,2025-12-18,Carezza,,Qualification,Parallel Giant Slalom,38,,
이상호,163744,2025-12-18,Carezza,,Qualification,Parallel Giant Slalom,9,,
이의진,221223,2025-12-18,Alpensia Cross-Country Center,,Far East Cup,5 km C,4,105.74,50
정종원,136287,2025-12-18,Alpensia Cross-Country Center,,Far East Cup,10 km C,15,158.51,16
이건용,154934,2025-12-18,Alpensia Cross-Country Center,,Far East Cup,10 km C,12,134.05,22
김다은,235623,2025-12-18,Copper,,Qualification,Freeski Halfpipe,17,,
조완희,188938,2025-12-18,Carezza,,World Cup,Parallel Giant Slalom,50,15.50,
조완희,188938,2025-12-18,Carezza,,Qualification,Parallel Giant Slalom,50,,
변지영,188923,2025-12-18,Alpensia Cross-Country Center,,Far East Cup,10 km C,6,107.93,40
이승훈,235622,2025-12-18,Copper,,Qualification,Freeski Halfpipe,9,,
이준서,229479,2025-12-18,Alpensia Cross-Country Center,,Far East Cup,10 km C,3,93.75,60
한다솜,162284,2025-12-18,Alpensia Cross-Country Center,,Far East Cup,5 km C,6,114.78,40
홍승영,188936,2025-12-18,Carezza,,Qualification,Parallel Giant Slalom,28,,
홍승영,188936,2025-12-18,Carezza,,World Cup,Parallel Giant Slalom,28,40.00,3.00
제상미,195562,2025-12-18,Alpensia Cross-Country Center,,Far East Cup,5 km C,10,134.36,26
김상겸,111837,2025-12-18,Carezza,,World Cup,Parallel Giant Slalom,31,28.00,
문희성,239278,2025-12-18,Copper,,Qualification,Freeski Halfpipe,DNS,,
마준호,220950,2025-12-18,Carezza,,World Cup,Parallel Giant Slalom,30,32.00,1.00
마준호,220950,2025-12-18,Carezza,,Qualification,Parallel Giant Slalom,30,,
김상겸,111837,2025-12-18,Carezza,,Qualification,Parallel Giant Slalom,31,,
이지오,261333,2025-12-17,Copper,,Qualification,Halfpipe,5,,
김건희,261977,2025-12-17,Copper,,Qualification,Halfpipe,9,,
이채운,239112,2025-12-17,Copper,,Qualification,Halfpipe,23,,
이나윤,212759,2025-12-17,Copper,,Qualification,Halfpipe,11,,
최가온,264594,2025-12-17,Copper,,Qualification,Halfpipe,1,,
이한희,188824,2025-12-14,Wanlong Ski Resorts,,Far East Cup,Slalom,12,34.48,22
정동현,93945,2025-12-14,Wanlong Ski Resorts,,Far East Cup,Slalom,1,16.74,100
박서윤,261321,2025-12-14,Wanlong Ski Resorts,,Far East Cup,Slalom,19,67.81,12
정민식,189170,2025-12-14,Wanlong Ski Resorts,,Far East Cup,Slalom,7,26.27,36
장선웅,270266,2025-12-14,Ruka,,Continental Cup,Large Hill HS142,39,,
김소희,177571,2025-12-14,Wanlong Ski Resorts,,Far East Cup,Slalom,DNF2,,
홍동관,163737,2025-12-14,Wanlong Ski Resorts,,Far East Cup,Slalom,8,26.61,32
신정우,203604,2025-12-14,Wanlong Ski Resorts,,Far East Cup,Slalom,15,38.21,16
최흥철,10064,2025-12-14,Ruka,,Continental Cup,Large Hill HS142,46,,
김동우,163740,2025-12-14,Wanlong Ski Resorts,,Far East Cup,Slalom,DNF1,,
박제윤,154866,2025-12-14,Wanlong Ski Resorts,,Far East Cup,Slalom,4,23.95,50
문희성,239278,2025-12-13,Secret Garden,,World Cup,Freeski Halfpipe,37,7.10,
최흥철,10064,2025-12-13,Ruka,,Continental Cup,Large Hill HS142,55,,
홍승영,188936,2025-12-13,Cortina d'Ampezzo,,Qualification,Parallel Giant Slalom,21,,
정민식,189170,2025-12-13,Wanlong Ski Resorts,,Far East Cup,Slalom,11,30.00,24
조완희,188938,2025-12-13,Cortina d'Ampezzo,,Qualification,Parallel Giant Slalom,DNF,,
조완희,188938,2025-12-13,Cortina d'Ampezzo,,World Cup,Parallel Giant Slalom,DNF,,
이상호,163744,2025-12-13,Cortina d'Ampezzo,,World Cup,Parallel Giant Slalom,9,290.00,29.00
유승은,261339,2025-12-13,Steamboat,,World Cup,Big Air,2,494.90,80.00
홍승영,188936,2025-12-13,Cortina d'Ampezzo,,World Cup,Parallel Giant Slalom,21,100.00,10.00
이승훈,235622,2025-12-13,Secret Garden,,World Cup,Freeski Halfpipe,36,13.90,
이한희,188824,2025-12-13,Wanlong Ski Resorts,,Far East Cup,Slalom,9,28.58,29
김동우,163740,2025-12-13,Wanlong Ski Resorts,,Far East Cup,Slalom,24,43.68,7
김소희,177571,2025-12-13,Wanlong Ski Resorts,,Far East Cup,Slalom,7,34.13,36
이상호,163744,2025-12-13,Cortina d'Ampezzo,,Qualification,Parallel Giant Slalom,2,,
신정우,203604,2025-12-13,Wanlong Ski Resorts,,Far East Cup,Slalom,22,43.52,9
김다은,235623,2025-12-13,Secret Garden,,World Cup,Freeski Halfpipe,18,90.00,13.00
우수빈,229485,2025-12-13,Cervinia,,World Cup,Snowboard Cross,36,19.70,
장선웅,270266,2025-12-13,Ruka,,Continental Cup,Large Hill HS142,39,,
박제윤,154866,2025-12-13,Wanlong Ski Resorts,,Far East Cup,Slalom,5,27.58,45
정해림,156415,2025-12-13,Cortina d'Ampezzo,,Qualification,Parallel Giant Slalom,28,,
정해림,156415,2025-12-13,Cortina d'Ampezzo,,World Cup,Parallel Giant Slalom,28,40.00,3.00
홍동관,163737,2025-12-13,Wanlong Ski Resorts,,Far East Cup,Slalom,14,36.68,18
정동현,93945,2025-12-13,Wanlong Ski Resorts,,Far East Cup,Slalom,2,19.90,80
박서윤,261321,2025-12-13,Wanlong Ski Resorts,,Far East Cup,Slalom,20,74.93,
김상겸,111837,2025-12-13,Cortina d'Ampezzo,,Qualification,Parallel Giant Slalom,7,,
김상겸,111837,2025-12-13,Cortina d'Ampezzo,,World Cup,Parallel Giant Slalom,11,240.00,24.00
이동헌,239111,2025-12-13,Steamboat,,World Cup,Big Air,47,33.20,
마준호,220950,2025-12-13,Cortina d'Ampezzo,,Qualification,Parallel Giant Slalom,60,,
마준호,220950,2025-12-13,Cortina d'Ampezzo,,World Cup,Parallel Giant Slalom,60,,
이채운,239112,2025-12-12,Secret Garden,,World Cup,Halfpipe,14,186.30,18.00
신정우,203604,2025-12-12,Wanlong Ski Resorts,,Far East Cup,Giant Slalom,5,24.95,45
이동헌,239111,2025-12-12,Steamboat,,Qualification,Big Air,23,,
정동현,93945,2025-12-12,Wanlong Ski Resorts,,Far East Cup,Giant Slalom,3,21.92,60
김소희,177571,2025-12-12,Wanlong Ski Resorts,,Far East Cup,Giant Slalom,1,17.23,100
박서윤,261321,2025-12-12,Wanlong Ski Resorts,,Far East Cup,Giant Slalom,21,55.61,10
홍동관,163737,2025-12-12,Wanlong Ski Resorts,,Far East Cup,Giant Slalom,DNF2,,
김동우,163740,2025-12-12,Wanlong Ski Resorts,,Far East Cup,Giant Slalom,DNF2,,
이지오,261333,2025-12-12,Secret Garden,,World Cup,Halfpipe,6,429.20,40.00
박제윤,154866,2025-12-12,Wanlong Ski Resorts,,Far East Cup,Giant Slalom,7,29.50,36
우수빈,229485,2025-12-12,Cervinia,,Qualification,Snowboard Cross,36,,
유승은,261339,2025-12-12,Steamboat,,Qualification,Big Air,2,,
김건희,261977,2025-12-12,Secret Garden,,World Cup,Halfpipe,9,294.40,29.00
이한희,188824,2025-12-12,Wanlong Ski Resorts,,Far East Cup,Giant Slalom,DNF1,,
정민식,189170,2025-12-12,Wanlong Ski Resorts,,Far East Cup,Giant Slalom,DNS1,,
최가온,264594,2025-12-12,Secret Garden,,World Cup,Halfpipe,1,800.00,100.00
이나윤,212759,2025-12-12,Secret Garden,,World Cup,Halfpipe,20,78.50,11.00
이승훈,235622,2025-12-11,Secret Garden,,Qualification,Freeski Halfpipe,18,,
이한희,188824,2025-12-11,Wanlong Ski Resorts,,Far East Cup,Giant Slalom,29,55.83,2
문희성,239278,2025-12-11,Secret Garden,,Qualification,Freeski Halfpipe,19,,
정민식,189170,2025-12-11,Wanlong Ski Resorts,,Far East Cup,Giant Slalom,DNF2,,
박제윤,154866,2025-12-11,Wanlong Ski Resorts,,Far East Cup,Giant Slalom,8,32.64,32
박서윤,261321,2025-12-11,Wanlong Ski Resorts,,Far East Cup,Giant Slalom,27,77.34,4
신정우,203604,2025-12-11,Wanlong Ski Resorts,,Far East Cup,Giant Slalom,1,20.81,100
김소희,177571,2025-12-11,Wanlong Ski Resorts,,Far East Cup,Giant Slalom,1,19.17,100
홍동관,163737,2025-12-11,Wanlong Ski Resorts,,Far East Cup,Giant Slalom,6,30.29,40
김다은,235623,2025-12-11,Secret Garden,,Qualification,Freeski Halfpipe,18,,
김동우,163740,2025-12-11,Wanlong Ski Resorts,,Far East Cup,Giant Slalom,DNF1,,
정동현,93945,2025-12-11,Wanlong Ski Resorts,,Far East Cup,Giant Slalom,11,36.24,24
김건희,261977,2025-12-10,Secret Garden,,Qualification,Halfpipe,7,,
이나윤,212759,2025-12-10,Secret Garden,,Qualification,Halfpipe,20,,
이지오,261333,2025-12-10,Secret Garden,,Qualification,Halfpipe,6,,
김동우,163740,2025-12-10,Wanlong Ski Resorts,,FIS,Giant Slalom,9,41.04,
신정우,203604,2025-12-10,Wanlong Ski Resorts,,FIS,Giant Slalom,1,23.00,
이채운,239112,2025-12-10,Secret Garden,,Qualification,Halfpipe,5,,
최가온,264594,2025-12-10,Secret Garden,,Qualification,Halfpipe,1,,
홍동관,163737,2025-12-10,Wanlong Ski Resorts,,FIS,Giant Slalom,DNF1,,
박제윤,154866,2025-12-09,Wanlong Ski Resorts,,FIS,Slalom,DNF1,,
정민식,189170,2025-12-09,Wanlong Ski Resorts,,FIS,Slalom,5,44.69,
이한희,188824,2025-12-09,Wanlong Ski Resorts,,FIS,Slalom,4,40.15,
김소희,177571,2025-12-09,Wanlong Ski Resorts,,FIS,Slalom,5,31.23,
정동현,93945,2025-12-09,Wanlong Ski Resorts,,FIS,Slalom,1,23.00,
김동우,163740,2025-12-09,Wanlong Ski Resorts,,FIS,Slalom,9,49.65,
정동현,93945,2025-12-08,Wanlong Ski Resorts,,FIS,Slalom,2,27.33,
김동우,163740,2025-12-08,Wanlong Ski Resorts,,FIS,Slalom,13,49.93,
정대윤,229480,2025-12-08,Ruka,,World Cup,Moguls,8,320.00,32.00
김소희,177571,2025-12-08,Wanlong Ski Resorts,,FIS,Slalom,DNF2,,
박제윤,154866,2025-12-08,Wanlong Ski Resorts,,FIS,Slalom,DNF2,,
정민식,189170,2025-12-08,Wanlong Ski Resorts,,FIS,Slalom,DNF1,,
홍동관,163737,2025-12-08,Wanlong Ski Resorts,,FIS,Slalom,7,45.43,
신정우,203604,2025-12-08,Wanlong Ski Resorts,,FIS,Slalom,11,48.57,
이윤승,252896,2025-12-08,Ruka,,World Cup,Moguls,49,15.80,
이한희,188824,2025-12-08,Wanlong Ski Resorts,,FIS,Slalom,4,33.62,
윤신이,258758,2025-12-08,Ruka,,World Cup,Moguls,41,18.20,
박서윤,261321,2025-12-07,Wanlong Ski Resorts,,FIS,Giant Slalom,DNF1,,
정해림,156415,2025-12-07,Mylin,,World Cup,Parallel Giant Slalom,37,19.40,
이준서,229479,2025-12-07,Trondheim,,World Cup,10 km F,102,150.21,
김상겸,111837,2025-12-07,Mylin,,World Cup,Parallel Giant Slalom,DNF,,
이건용,154934,2025-12-07,"Imatra, Ukonniemi stadion",,FIS,10 km C,60,183.13,
정종원,136287,2025-12-07,"Imatra, Ukonniemi stadion",,FIS,10 km C,69,197.87,
정해림,156415,2025-12-07,Mylin,,Qualification,Parallel Giant Slalom,37,,
김상겸,111837,2025-12-07,Mylin,,Qualification,Parallel Giant Slalom,DNF,,
정대윤,229480,2025-12-07,Ruka,,World Cup,Moguls,5,450.00,45.00
장선웅,270266,2025-12-07,Kandersteg,,FIS Cup,Normal Hill HS106,50,,
이지예,212563,2025-12-07,"Imatra, Ukonniemi stadion",,FIS,10 km C,49,275.53,
이윤승,252896,2025-12-07,Ruka,,World Cup,Moguls,32,26.00,
제상미,195562,2025-12-07,Planica,,FESA Cup,10 km F,51,195.22,
이상호,163744,2025-12-07,Mylin,,World Cup,Parallel Giant Slalom,18,130.00,13.00
이상호,163744,2025-12-07,Mylin,,Qualification,Parallel Giant Slalom,18,,
홍승영,188936,2025-12-07,Mylin,,Qualification,Parallel Giant Slalom,43,,
홍승영,188936,2025-12-07,Mylin,,World Cup,Parallel Giant Slalom,43,17.60,
이의진,221223,2025-12-07,Trondheim,,World Cup,10 km F,77,125.16,
한다솜,162284,2025-12-07,Trondheim,,World Cup,10 km F,79,127.98,
